date,trend_slug,trend_label,average_relative_interest,countries_available,start_date,months_from_start
2013-04-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-64
2013-05-01,camelbak_water_bottle,CamelBak,0.01402116402116402,6,2012-02-01,15
2013-05-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-85
2013-05-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-63
2013-05-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-111
2013-05-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-112
2013-05-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-63
2013-06-01,camelbak_water_bottle,CamelBak,0.013992869875222816,6,2012-02-01,16
2013-06-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-84
2013-06-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-62
2013-06-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-110
2013-06-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-111
2013-06-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-62
2013-07-01,camelbak_water_bottle,CamelBak,0.009090909090909092,6,2012-02-01,17
2013-07-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-83
2013-07-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-61
2013-07-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-109
2013-07-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-110
2013-07-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-61
2013-08-01,camelbak_water_bottle,CamelBak,0.008771929824561403,6,2012-02-01,18
2013-08-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-82
2013-08-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-60
2013-08-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-108
2013-08-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-109
2013-08-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-60
2013-09-01,camelbak_water_bottle,CamelBak,0.014062935115566694,6,2012-02-01,19
2013-09-01,frank_green_water_bottle,Frank Green,0.0,6,2020-06-01,-81
2013-09-01,hydro_flask_water_bottle,Hydro Flask,0.0,6,2018-08-01,-59
2013-09-01,owala_water_bottle,Owala,0.0,6,2022-08-01,-107
2013-09-01,stanley_water_bottle,Stanley,0.0,6,2022-09-01,-108
2013-09-01,yeti_water_bottle,Yeti,0.0,6,2018-08-01,-59
2013-10-01,camelbak_water_bottle,CamelBak,0.014540337711069419,6,2012-02-01,20
