date,owala,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2025-05-01,16,60,False,owala,Owala,owala,water bottle,AU,Australia
2025-06-01,16,60,False,owala,Owala,owala,water bottle,AU,Australia
2025-07-01,18,62,False,owala,Owala,owala,water bottle,AU,Australia
2025-08-01,20,62,False,owala,Owala,owala,water bottle,AU,Australia
2025-09-01,22,63,False,owala,Owala,owala,water bottle,AU,Australia
2025-10-01,24,70,False,owala,Owala,owala,water bottle,AU,Australia
2025-11-01,41,87,False,owala,Owala,owala,water bottle,AU,Australia
2025-12-01,41,100,False,owala,Owala,owala,water bottle,AU,Australia
2026-01-01,32,88,False,owala,Owala,owala,water bottle,AU,Australia
2026-02-01,30,79,False,owala,Owala,owala,water bottle,AU,Australia
2026-03-01,27,67,False,owala,Owala,owala,water bottle,AU,Australia
2026-04-01,24,72,False,owala,Owala,owala,water bottle,AU,Australia
2026-05-01,24,71,False,owala,Owala,owala,water bottle,AU,Australia
2026-06-01,25,65,True,owala,Owala,owala,water bottle,AU,Australia
