date,hydro flask,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2020-06-01,2,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-07-01,2,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-08-01,3,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-09-01,2,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-10-01,1,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-11-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2020-12-01,2,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-01-01,1,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-02-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-03-01,1,6,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-04-01,0,5,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-05-01,1,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-06-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-07-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-08-01,2,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-09-01,2,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-10-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-11-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2021-12-01,2,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-01-01,1,9,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-02-01,1,7,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-03-01,1,8,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-04-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-05-01,1,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-06-01,2,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-07-01,2,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-08-01,2,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-09-01,2,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-10-01,2,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-11-01,2,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2022-12-01,2,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-01-01,1,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-02-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-03-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-04-01,2,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-05-01,2,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-06-01,1,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-07-01,2,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-08-01,2,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-09-01,2,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-10-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-11-01,1,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2023-12-01,1,10,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-01-01,2,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-02-01,1,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-03-01,1,11,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-04-01,1,12,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-05-01,1,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-06-01,2,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-07-01,2,17,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-08-01,3,17,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-09-01,2,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-10-01,2,14,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-11-01,2,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2024-12-01,2,14,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-01-01,2,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-02-01,2,14,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-03-01,2,13,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-04-01,2,15,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-05-01,1,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-06-01,3,21,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-07-01,2,19,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-08-01,3,20,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-09-01,2,17,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-10-01,2,16,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-11-01,9,33,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2025-12-01,4,33,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-01-01,3,31,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-02-01,5,100,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-03-01,5,39,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-04-01,4,34,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-05-01,3,32,False,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
2026-06-01,3,29,True,hydro_flask,Hydro Flask,hydro flask,water bottle,ES,Spain
