date,yeti tumbler,water bottle,isPartial,trend_slug,trend_label,trend_query,baseline_term,geo,country
2021-10-01,0,42,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-11-01,0,47,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2021-12-01,0,61,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-01-01,0,53,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-02-01,0,50,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-03-01,0,54,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-04-01,1,55,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-05-01,0,52,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-06-01,0,59,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-07-01,0,58,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-08-01,0,59,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-09-01,0,58,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-10-01,0,58,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-11-01,0,61,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2022-12-01,0,59,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-01-01,0,57,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-02-01,0,54,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-03-01,0,58,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-04-01,1,58,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-05-01,0,62,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-06-01,1,63,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-07-01,1,66,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-08-01,1,67,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-09-01,0,64,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-10-01,0,70,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-11-01,1,70,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2023-12-01,2,91,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-01-01,1,78,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-02-01,0,70,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-03-01,0,82,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-04-01,0,80,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-05-01,0,86,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-06-01,0,74,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-07-01,0,89,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-08-01,1,90,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-09-01,0,88,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-10-01,0,75,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-11-01,0,76,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2024-12-01,0,92,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-01-01,0,72,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-02-01,0,77,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-03-01,0,71,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-04-01,0,69,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-05-01,0,78,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
2025-06-01,2,78,False,yeti_tumbler,Yeti tumbler,yeti tumbler,water bottle,SG,Singapore
